Station                           ,                 sea_reg,              sealev_dvr,               sealev_ln,                      tw
  20002 (Skagen Havn)             ,                       0,                       0,                       0,                       0
  20043 (Hirtshals Havn II)       ,                       0,                       0,                       0,                       0
  20047 (Hirtshals Havn I)        ,                       0,                       0,                       0,                       0
  20048 (Hirtshals Havn)          ,                       0,                       0,                       0,                       0
  20098 (Frederikshavn)           ,                       0,                       0,                       0,                       0
  20101 (Frederikshavn I)         ,                       0,                       0,                       0,                       0
  20102 (Frederikshavn II)        ,                       0,                       0,                       0,                       0
  20566 (Hobro Havn I)            ,                       0,                       0,                       0,                       0
  20567 (Hobro Havn II)           ,                       0,                       0,                       0,                       0
  21008 (Hanstholm Havn)          ,                       0,                       0,                       0,                       0
  21009 (Hanstholm Havn I)        ,                       0,                       0,                       0,                       0
  21011 (Hanstholm Havn II)       ,                       0,                       0,                       0,                       0
  22009 (Udbyhøj Havn II)         ,                       0,                       0,                       0,                       0
  22058 (Randers Havn I)          ,                       0,                       0,                       0,                       0
  22059 (Randers Havn II)         ,                       0,                       0,                       0,                       0
  22121 (Grenå Havn I)            ,                       0,                       0,                       0,                       0
  22122 (Grenå Havn II)           ,                       0,                       0,                       0,                       0
  22331 (Århus Havn I)            ,                       0,                       0,                       0,                       0
  22332 (Århus Havn)              ,                       0,                       0,                       0,                       0
  22333 (Århus Havn II)           ,                       0,                       0,                       0,                       0
  22598 (Hov Havn I)              ,                       0,                       0,                       0,                       0
  22599 (Hov Havn II)             ,                       0,                       0,                       0,                       0
  23132 (Juelsminde Havn)         ,                       0,                       0,                       0,                       0
  23289 (Fredericia Havn II)      ,                       0,                       0,                       0,                       0
  23292 (Fredericia Havn)         ,                       0,                       0,                       0,                       0
  23293 (Fredericia Havn)         ,                       0,                       0,                       0,                       0
  25148 (Esbjerg Havn)            ,                    8701,                       0,                    8701,                       0
  25149 (Esbjerg Havn)            ,                       0,                       0,                       0,                       0
  26359 (Vidåslusen/Højer)        ,                       0,                       0,                       0,                       0
  26457 (Fynshav Havn I)          ,                       0,                       0,                       0,                       0
  26458 (Fynshav Havn)            ,                       0,                       0,                       0,                       0
  26459 (Fynshav Havn II)         ,                       0,                       0,                       0,                       0
  27084 (Ballen Havn)             ,                       0,                       0,                       0,                       0
  28232 (Slipshavn)               ,                       0,                       0,                       0,                       0
  28233 (Slipshavn)               ,                       0,                       0,                       0,                       0
  28234 (Slipshavn)               ,                       0,                       0,                       0,                       0
  28548 (Bagenkop Havn)           ,                       0,                       0,                       0,                       0
  29002 (Havnebyen/Sjællands Odde),                       0,                       0,                       0,                       0
  29038 (Holbæk Havn I)           ,                       0,                       0,                       0,                       0
  29039 (Holbæk Havn II)          ,                       0,                       0,                       0,                       0
  29392 (Korsør Havn)             ,                       0,                       0,                       0,                       0
  29393 (Korsør Havn I)           ,                       0,                       0,                       0,                       0
  29394 (Korsør Havn II)          ,                       0,                       0,                       0,                       0
  30017 (Hornbæk Havn)            ,                       0,                       0,                       0,                       0
  30018 (Hornbæk Havn)            ,                    8584,                       0,                    8584,                       0
  30202 (Vedbæk Havn I)           ,                       0,                       0,                       0,                       0
  30203 (Vedbæk Havn II)          ,                       0,                       0,                       0,                       0
  30336 (Københavns Havn)         ,                       0,                       0,                       0,                       0
  30337 (Københavns Havn)         ,                       0,                       0,                       0,                       0
  30338 (Københavns Havn)         ,                       0,                       0,                       0,                       0
  30339 (Københavns Havn)         ,                       0,                       0,                       0,                       0
  30357 (Drogden Fyr)             ,                       0,                       0,                       0,                       0
  30361 (Dragør Havn I)           ,                       0,                       0,                       0,                       0
  30363 (Dragør Havn II)          ,                       0,                       0,                       0,                       0
  30407 (Roskilde Havn I)         ,                       0,                       0,                       0,                       0
  30409 (Roskilde Havn II)        ,                       0,                       0,                       0,                       0
  30478 (Køge Havn I)             ,                       0,                       0,                       0,                       0
  30479 (Køge Havn II)            ,                       0,                       0,                       0,                       0
  31063 (Rødvig Havn)             ,                       0,                       0,                       0,                       0
  31572 (Rødbyhavns Havn)         ,                       0,                       0,                       0,                       0
  31573 (Rødbyhavns Havn I)       ,                       0,                       0,                       0,                       0
  31574 (Rødbyhavns Havn II)      ,                       0,                       0,                       0,                       0
  31616 (Gedser Havn I)           ,                       0,                       0,                       0,                       0
  31618 (Gedser Havn)             ,                    8581,                       0,                    8581,                       0
  31623 (Gedser Havn II)          ,                       0,                       0,                       0,                       0
  32048 (Tejn Havn)               ,                       0,                       0,                       0,                       0
9004201 (Thyborøn Havn)           ,                       0,                       0,                       0,                       0
9004203 (Thyborøn Kyst)           ,                       0,                       0,                       0,                       0
9004303 (Ferring)                 ,                       0,                       0,                       0,                       0
9005101 (Thorsminde Havn)         ,                       0,                       0,                       0,                       0
9005103 (Thorsminde Kyst I)       ,                       0,                       0,                       0,                       0
9005104 (Thorsminde Kyst II)      ,                       0,                       0,                       0,                       0
9005110 (Thorsminde Fjord)        ,                       0,                       0,                       0,                       0
9005113 (Felsted Kog/Klosterhul)  ,                       0,                       0,                       0,                       0
9005201 (Hvide Sande Havn)        ,                       0,                       0,                       0,                       0
9005203 (Hvide Sande Kyst)        ,                       0,                       0,                       0,                       0
9005210 (Hvide Sande Fjord)       ,                       0,                       0,                       0,                       0
9005212 (Ringkøbing Havn)         ,                       0,                       0,                       0,                       0
9005213 (Bork Havn)               ,                       0,                       0,                       0,                       0
9006401 (Esbjerg Havn)            ,                       0,                       0,                       0,                       0
9006501 (Vidåslusen/Højer)        ,                       0,                       0,                       0,                       0
9006601 (Ballum Sluse)            ,                       0,                       0,                       0,                       0
9006701 (Ribe Kammersluse I)      ,                       0,                       0,                       0,                       0
